T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,L,V,D,B,F,Ethanol concentration,TempDiff,mean_Temp
350.89,350.95,351.01,351.08,351.16,351.26,351.38,351.54,351.78,352.18,353.0,355.19,363.77,371.47,780,1040,260,340,600,0.82076,20.58000000000004,354.0471428571429
350.86,350.91,350.96,351.02,351.09,351.17,351.28,351.43,351.66,352.03,352.76,354.66,362.2,370.98,780,1040,260,340,600,0.83253,20.120000000000005,353.7864285714286
350.85,350.89,350.93,350.99,351.05,351.13,351.23,351.37,351.58,351.91,352.55,354.13,360.16,370.1,780,1040,260,340,600,0.83953,19.25,353.49071428571426
350.84,350.88,350.92,350.97,351.03,351.11,351.21,351.34,351.53,351.83,352.4,353.75,358.45,368.99,780,1040,260,340,600,0.84366,18.150000000000034,353.2321428571428
350.83,350.87,350.91,350.96,351.02,351.09,351.18,351.31,351.49,351.78,352.3,353.5,357.23,367.81,780,1040,260,340,600,0.84622,16.980000000000018,353.02
350.83,350.86,350.91,350.95,351.01,351.08,351.17,351.29,351.47,351.74,352.23,353.33,356.41,366.69,780,1040,260,340,600,0.84788,15.860000000000014,352.855
350.83,350.86,350.9,350.95,351.01,351.07,351.16,351.28,351.45,351.71,352.18,353.23,355.87,365.74,780,1040,260,340,600,0.84899,14.910000000000025,352.7314285714286
350.83,350.86,350.9,350.95,351.0,351.07,351.16,351.27,351.44,351.69,352.15,353.16,355.51,364.99,780,1040,260,340,600,0.84974,14.160000000000025,352.6414285714286
350.82,350.86,350.9,350.94,351.0,351.07,351.15,351.27,351.43,351.68,352.13,353.11,355.27,364.41,780,1040,260,340,600,0.85026,13.590000000000032,352.5742857142856
350.82,350.86,350.9,350.94,351.0,351.06,351.15,351.26,351.42,351.67,352.12,353.08,355.11,363.99,780,1040,260,340,600,0.85062,13.170000000000016,352.5271428571428
350.82,350.86,350.9,350.94,351.0,351.06,351.15,351.26,351.42,351.67,352.11,353.06,355.0,363.68,780,1040,260,340,600,0.85087,12.860000000000014,352.495
350.82,350.86,350.9,350.94,350.99,351.06,351.14,351.26,351.42,351.66,352.1,353.04,354.93,363.46,780,1040,260,340,600,0.85104,12.639999999999986,352.4700000000001
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.26,351.41,351.66,352.1,353.03,354.87,363.3,780,1040,260,340,600,0.85116,12.480000000000018,352.45214285714286
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.09,353.02,354.84,363.19,780,1040,260,340,600,0.85124,12.370000000000005,352.44
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.09,353.02,354.81,363.11,780,1040,260,340,600,0.8513,12.29000000000002,352.4321428571429
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.09,353.01,354.79,363.05,780,1040,260,340,600,0.85134,12.230000000000018,352.42571428571426
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.09,353.01,354.78,363.01,780,1040,260,340,600,0.85137,12.189999999999998,352.42214285714283
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.09,353.01,354.77,362.99,780,1040,260,340,600,0.85139,12.170000000000016,352.41999999999996
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.09,353.01,354.77,362.97,780,1040,260,340,600,0.8514,12.150000000000034,352.4185714285714
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.09,353.01,354.76,362.96,780,1040,260,340,600,0.85141,12.139999999999986,352.4171428571429
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.09,353.01,354.76,362.95,780,1040,260,340,600,0.85142,12.129999999999995,352.4164285714286
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.09,353.01,354.76,362.94,780,1040,260,340,600,0.85143,12.120000000000005,352.4157142857143
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.09,353.01,354.76,362.94,780,1040,260,340,600,0.85143,12.120000000000005,352.4157142857143
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.09,353.01,354.76,362.93,780,1040,260,340,600,0.85143,12.110000000000014,352.415
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.09,353.01,354.76,362.93,780,1040,260,340,600,0.85143,12.110000000000014,352.415
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.09,353.01,354.75,362.93,780,1040,260,340,600,0.85143,12.110000000000014,352.4142857142857
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.93,780,1040,260,340,600,0.85143,12.110000000000014,352.4135714285714
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.93,780,1040,260,340,600,0.85144,12.110000000000014,352.4135714285714
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.93,780,1040,260,340,600,0.85144,12.110000000000014,352.4135714285714
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.93,780,1040,260,340,600,0.85144,12.110000000000014,352.4135714285714
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.93,780,1040,260,340,600,0.85144,12.110000000000014,352.4135714285714
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.93,780,1040,260,340,600,0.85144,12.110000000000014,352.4135714285714
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780,1040,260,340,600,0.85144,12.100000000000023,352.41285714285715
